Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
vs Arsenal,27,38.0,674,17.74,506,56,35,25,38,14,79,2.08,55,3,8,4,7,2
vs Aston Villa,31,38.0,748,19.68,522,70,38,41,51,26,85,2.24,56,3,5,10,9,2
vs Brentford,29,38.0,744,19.58,561,55,31,38,43,16,88,2.32,68,5,2,5,6,2
vs Brighton,26,38.0,715,18.82,524,59,39,38,37,18,71,1.87,44,9,5,7,4,2
vs Burnley,23,38.0,975,25.66,727,71,57,62,40,18,85,2.24,69,3,2,6,5,0
vs Chelsea,26,38.0,484,12.74,325,45,37,25,32,20,49,1.29,29,4,4,3,6,3
vs Crystal Palace,24,38.0,656,17.26,464,71,25,43,42,11,67,1.76,43,9,2,7,4,2
vs Everton,33,38.0,780,20.53,550,72,53,47,43,15,96,2.53,59,12,5,10,5,5
vs Leeds United,29,38.0,907,23.87,642,78,65,53,46,23,127,3.34,93,9,5,8,10,2
vs Leicester City,28,38.0,876,23.05,589,98,54,62,45,28,89,2.34,49,9,5,14,8,4
vs Liverpool,27,38.0,484,12.74,364,33,35,21,20,11,41,1.08,27,4,4,5,1,0
vs Manchester City,26,38.0,374,9.84,269,36,24,11,25,9,47,1.24,36,2,5,2,1,1
vs Manchester Utd,29,38.0,753,19.82,522,70,48,44,45,24,82,2.16,57,3,6,8,4,4
vs Newcastle Utd,29,38.0,846,22.26,618,70,47,60,39,12,104,2.74,74,7,4,12,6,1
vs Norwich City,28,38.0,956,25.16,691,80,53,55,48,29,129,3.39,94,4,6,12,9,4
vs Southampton,25,38.0,759,19.97,562,60,43,47,30,17,103,2.71,70,8,7,13,4,1
vs Tottenham,25,38.0,754,19.84,515,84,51,46,35,23,63,1.66,46,5,5,4,3,0
vs Watford,30,38.0,859,22.61,642,74,38,42,41,22,119,3.13,87,7,7,4,10,4
vs West Ham,25,38.0,853,22.45,674,53,36,45,31,14,79,2.08,55,6,2,10,3,3
vs Wolves,26,38.0,776,20.42,572,63,41,42,47,11,61,1.61,34,2,5,7,11,2
