Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,27,24.4,38,3420,90,100,38.0,418,85,304,110,17,232,1.82,61,48,13,0.34,59.9,47.1,12.8,0.34
Aston Villa,31,26.1,38,3420,90,100,38.0,418,85,304,113,20,228,1.18,52,54,-2,-0.05,44.0,49.1,-5.1,-0.13
Brentford,29,25.4,38,3420,90,100,38.0,418,84,304,114,22,223,1.21,48,56,-8,-0.21,47.8,49.1,-1.3,-0.03
Brighton,26,26.2,38,3420,90,100,38.0,418,84,308,111,22,231,1.34,42,44,-2,-0.05,46.0,45.6,0.4,0.01
Burnley,23,28.5,38,3420,90,100,38.0,418,86,321,96,19,244,0.92,34,53,-19,-0.5,39.0,56.7,-17.7,-0.47
Chelsea,26,27.4,38,3420,90,100,38.0,418,84,306,111,22,226,1.95,76,33,43,1.13,67.2,36.0,31.3,0.82
Crystal Palace,24,27.1,38,3420,90,100,38.0,418,85,309,108,18,229,1.26,50,46,4,0.11,46.4,41.0,5.4,0.14
Everton,33,26.7,38,3420,90,100,38.0,418,85,317,97,21,240,1.03,43,66,-23,-0.61,42.8,54.5,-11.7,-0.31
Leeds United,29,26.1,38,3420,90,100,38.0,418,82,312,106,29,234,1.0,42,79,-37,-0.97,47.2,70.1,-23.0,-0.6
Leicester City,28,26.5,38,3420,90,100,38.0,418,84,308,109,23,232,1.37,62,59,3,0.08,50.8,61.0,-10.1,-0.27
Liverpool,27,27.7,38,3420,90,100,38.0,418,85,306,111,19,231,2.42,94,26,68,1.79,89.2,34.3,55.0,1.45
Manchester City,26,27.0,38,3420,90,100,38.0,418,86,338,79,20,261,2.45,99,26,73,1.92,89.0,27.2,61.9,1.63
Manchester Utd,29,27.2,38,3420,90,100,38.0,418,85,303,114,20,227,1.53,57,57,0,0.0,54.8,54.5,0.3,0.01
Newcastle Utd,29,27.5,38,3420,90,100,38.0,418,85,309,108,18,233,1.29,44,62,-18,-0.47,40.3,55.4,-15.2,-0.4
Norwich City,28,26.2,38,3420,90,100,38.0,418,84,304,114,21,227,0.58,23,84,-61,-1.61,33.3,77.0,-43.6,-1.15
Southampton,25,25.7,38,3420,90,100,38.0,418,85,307,110,19,232,1.05,43,67,-24,-0.63,46.8,58.6,-11.9,-0.31
Tottenham,25,26.5,38,3420,90,100,38.0,418,85,311,106,18,236,1.87,69,40,29,0.76,65.1,39.4,25.8,0.68
Watford,30,28.4,38,3420,90,100,38.0,418,84,309,106,23,234,0.61,34,77,-43,-1.13,38.8,66.6,-27.8,-0.73
West Ham,25,28.2,38,3420,90,100,38.0,418,86,320,95,17,247,1.47,60,51,9,0.24,49.9,51.0,-1.1,-0.03
Wolves,26,27.3,38,3420,90,100,38.0,418,86,310,107,16,230,1.34,38,43,-5,-0.13,35.9,60.3,-24.4,-0.64
