Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,27,38.0,19512,17883,1629,408,28,2446,503,433,208,143,21,18,14044,2268,3200,8203,9281,705,677,238,16110,58,292,521,370
Aston Villa,31,38.0,16026,14192,1834,527,35,2230,478,452,196,109,42,14,10616,1914,3496,5279,8685,653,715,226,12521,46,312,472,377
Brentford,29,38.0,15894,14130,1764,434,28,2299,399,433,158,81,44,18,9284,2315,4295,4869,8282,1018,781,268,11551,57,329,563,445
Brighton,26,38.0,20297,18599,1698,392,24,2797,569,486,200,80,94,6,14267,2388,3642,4980,13099,678,783,280,16342,49,315,630,519
Burnley,23,38.0,13895,12157,1738,377,26,2389,527,449,182,147,15,6,6881,2182,4832,3977,7132,948,783,239,9508,94,326,441,450
Chelsea,26,38.0,24294,22633,1661,438,61,3329,455,496,241,107,99,8,18619,2509,3166,5291,16996,643,710,239,20878,64,250,612,437
Crystal Palace,24,38.0,18643,16741,1902,531,20,2690,519,422,175,84,47,9,12434,2210,3999,4664,11547,751,842,287,14780,61,331,560,434
Everton,33,38.0,14297,12537,1760,417,19,2539,407,414,161,80,58,5,8325,2046,3926,3548,8426,751,782,197,10325,50,374,508,438
Leeds United,29,38.0,17836,16042,1794,419,25,2597,532,436,170,96,41,8,11601,2716,3519,7343,8301,685,798,362,13830,56,374,641,481
Leicester City,28,38.0,19634,17826,1808,459,31,3077,462,345,185,105,45,8,14008,2257,3369,4797,12673,723,764,213,15911,54,327,614,467
Liverpool,27,38.0,24964,23220,1744,437,73,3075,728,554,281,46,204,5,17957,2945,4062,5942,16648,841,778,320,20856,58,282,715,552
Manchester City,26,38.0,27275,25686,1589,408,64,3140,730,610,315,135,53,30,21540,2400,3335,10089,15240,688,656,241,24032,61,265,576,469
Manchester Utd,29,38.0,20092,18406,1686,379,48,2948,655,425,197,70,87,7,14426,2359,3307,5808,12263,649,718,229,16464,78,269,668,439
Newcastle Utd,29,38.0,13751,11982,1769,422,19,2345,449,406,160,87,47,16,8146,1944,3661,3260,8250,698,741,218,10211,59,293,411,363
Norwich City,28,38.0,15658,13820,1838,475,27,2280,518,374,164,87,61,4,10004,2064,3590,4770,8734,721,767,253,11974,48,315,518,399
Southampton,25,38.0,16695,14913,1782,409,24,2743,377,450,233,106,106,2,10649,2012,4034,3456,10859,843,750,211,12571,34,320,505,449
Tottenham,25,38.0,20207,18552,1655,431,57,2553,471,407,193,72,66,5,15090,2100,3017,5056,13171,629,673,214,16914,55,226,590,463
Watford,30,38.0,14327,12545,1782,391,20,2275,424,385,161,89,55,2,8021,2161,4145,4276,7613,846,804,195,10380,47,335,454,413
West Ham,25,38.0,17992,16332,1660,304,34,2535,525,521,201,132,43,5,11881,2288,3823,4463,11245,755,762,244,14176,52,329,471,438
Wolves,26,38.0,18602,16945,1657,420,30,2603,567,393,168,35,89,10,12762,2251,3589,5574,10918,690,713,291,15024,54,303,561,402
