Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,38.0,48,5,0,4,1,40.8,0.26,-6.2,-0.16,192,574,33.4,1038,169,39.5,37.0,229,71.6,56.0,308,23,7.5,36,0.95,15.8
Aston Villa,3,38.0,54,4,2,6,2,45.2,0.28,-6.8,-0.18,221,536,41.2,865,153,45.2,38.7,300,48.3,41.2,302,19,6.3,26,0.68,13.8
Brentford,3,38.0,56,5,1,9,2,55.5,0.3,1.5,0.04,349,854,40.9,1317,178,50.0,40.5,296,66.2,49.3,367,22,6.0,40,1.05,15.1
Brighton,2,38.0,44,3,1,6,0,44.5,0.29,0.5,0.01,200,626,31.9,1301,165,35.6,37.3,238,68.5,53.9,329,38,11.6,30,0.79,13.9
Burnley,2,38.0,53,5,1,8,2,54.6,0.3,3.6,0.1,345,912,37.8,852,147,73.6,53.1,306,93.1,66.2,395,37,9.4,66,1.74,18.1
Chelsea,2,38.0,33,6,0,2,1,32.9,0.26,0.9,0.02,130,287,45.3,881,157,25.2,29.0,197,33.0,30.3,274,20,7.3,24,0.63,14.1
Crystal Palace,2,38.0,46,3,2,11,2,40.5,0.27,-3.5,-0.09,198,468,42.3,986,197,34.8,32.7,265,47.2,38.8,299,21,7.0,23,0.61,14.4
Everton,2,38.0,66,2,2,15,5,59.6,0.32,-1.4,-0.04,312,889,35.1,924,112,69.9,53.1,295,82.4,64.2,333,25,7.5,26,0.68,15.1
Leeds United,2,38.0,79,5,3,11,1,70.5,0.3,-7.5,-0.2,168,515,32.6,1098,258,35.3,32.9,290,43.8,38.8,249,22,8.8,37,0.97,14.8
Leicester City,2,38.0,59,7,1,16,1,57.6,0.29,-0.4,-0.01,259,595,43.5,989,157,45.1,38.7,298,50.0,43.3,289,22,7.6,16,0.42,12.5
Liverpool,2,38.0,26,0,0,4,1,29.7,0.29,4.7,0.12,195,361,54.0,1266,207,22.2,29.7,184,43.5,39.0,232,21,9.1,66,1.74,18.0
Manchester City,2,38.0,26,1,0,1,0,24.1,0.27,-1.9,-0.05,159,271,58.7,982,157,23.9,29.9,145,24.8,31.3,188,16,8.5,36,0.95,17.3
Manchester Utd,1,38.0,57,3,0,7,3,60.7,0.33,6.7,0.18,139,379,36.7,614,124,37.0,35.2,297,51.2,42.4,306,10,3.3,9,0.24,13.6
Newcastle Utd,3,38.0,62,5,0,8,2,57.4,0.33,-2.6,-0.07,319,767,41.6,877,126,53.5,43.2,344,86.6,62.3,313,27,8.6,13,0.34,13.0
Norwich City,2,38.0,84,9,1,11,2,78.7,0.33,-3.3,-0.09,250,649,38.5,1046,194,46.6,39.6,309,52.4,44.1,350,17,4.9,17,0.45,12.9
Southampton,3,38.0,67,2,0,13,2,60.9,0.33,-4.1,-0.11,226,665,34.0,884,141,51.5,42.5,281,74.7,54.2,349,36,10.3,21,0.55,13.4
Tottenham,1,38.0,40,2,1,5,1,38.5,0.28,-0.5,-0.01,159,344,46.2,667,149,36.3,34.4,276,37.0,32.8,352,21,6.0,23,0.61,14.2
Watford,2,38.0,77,6,1,8,3,67.1,0.34,-6.9,-0.18,316,892,35.4,914,114,68.2,50.2,312,86.2,61.8,373,19,5.1,32,0.84,14.4
West Ham,2,38.0,51,2,1,11,2,53.1,0.31,4.1,0.11,249,630,39.5,753,148,56.2,44.3,294,70.4,52.9,357,15,4.2,9,0.24,11.8
Wolves,2,38.0,43,9,1,2,1,50.5,0.27,8.5,0.22,169,498,33.9,845,201,42.8,39.4,273,49.8,42.5,319,34,10.7,41,1.08,15.4
